name,color
Department of Defense (DOD),#702550
Department of Energy (DOE),#553A50
Department of Veterans Affairs (VA),#4E4861
Department of Health and Human Services (HHS),#3F566E
National Aeronautics and Space Administration (NASA),#2C6473
Department of Homeland Security (DHS),#1D7170
Department of State (DOS),#277D67
Department of Agriculture (USDA),#438659
Department of Justice (DOJ),#648D4A
General Services Administration (GSA),#88923E
Department of Transportation (DOT),#AE933C
Agency for International Development (USAID),#D39248
Department of Commerce (DOC),#D7924A
Department of the Treasury (TREAS),#DA914C
Department of Housing and Urban Development (HUD),#DE914E
Department of the Interior (DOI),#E19151
Department of Labor (DOL),#E49153
Department of Education (ED),#E89056
Social Security Administration (SSA),#EB9058
Environmental Protection Agency (EPA),#EE905B
Office of Personnel Management (OPM),#F1905E
The Judicial Branch (JUD BRANCH),#F48F61
National Science Foundation (NSF),#F78F64
Securities and Exchange Commission (SEC),#F78F64
Pension Benefit Guaranty Corporation (DOL),#F78F64
Smithsonian Institution (SI),#F78F64
Consumer Financial Protection Bureau (CFPB),#F78F64
Nuclear Regulatory Commission (NRC),#F78F64
National Archives and Records Administration (NARA),#F78F64
Peace Corps (EOP),#F78F64
Broadcasting Board of Governors (BBG),#F78F64
Federal Communications Commission (FCC),#F78F64
Millenium Challenge Corporation (MCC),#F78F64
Small Business Administration (SBA),#F78F64
Government Accountability Office (GAO),#F78F64
Federal Trade Commission (FTC),#F78F64
Executive Office of the President (EOP),#F78F64
Equal Employment Opportunity Commission (EEOC),#F78F64
Corporation for National and Community Service (CNCS),#F78F64
Commodity Futures Trading Commission (CFTC),#F78F64
Railroad Retirement Board (RRB),#F78F64
Export-Import Bank of the United States (EXIM),#F78F64
U.S. Trade and Development Agency (EOP),#F78F64
Court Services and Offender Supervision Agency (CSOSA),#F78F64
Consumer Product Safety Commission (CPSC),#F78F64
National Labor Relations Board (NLRB),#F78F64
National Gallery of Art (SI),#F78F64
Overseas Private Investment Corporation (OPIC),#F78F64
International Trade Commission (USITC),#F78F64
U.S. Postal Service (USPS),#F78F64
National Transportation Safety Board (NTSB),#F78F64
Denali Commission (DENALI),#F78F64
Federal Election Commission (FEC),#F78F64
National Endowment for the Arts (NEA),#F78F64
Federal Mine Safety and Health Review Commission (FMSHRC),#F78F64
National Endowment for the Humanities (NEH),#F78F64
Federal Housing Finance Agency (FHFA),#F78F64
Selective Service System (SSS),#F78F64
Merit Systems Protection Board (MSPB),#F78F64
Inter-American Foundation (EOP),#F78F64
United States Chemical Safety Board (CSB),#F78F64
Federal Mediation and Conciliation Service (FMCS),#F78F64
Federal Labor Relations Authority (FLRA),#F78F64
The Council of the Inspectors General on Integrity and Efficiency (CIGIE),#F78F64
Morris K. Udall and Stewart L. Udall Foundation (UDALL),#F78F64
Committee for Purchase from People Who Are Blind or Severely Disabled (ABILITYONE),#F78F64
Federal Maritime Commission (FMC),#F78F64
Election Assistance Commission (EAC),#F78F64
National Mediation Board (NMB),#F78F64
NATIONAL INSTITUTES OF HEALTH,#F78F64
Office of Special Counsel (OSC),#F78F64
Surface Transportation Board (STB),#F78F64
Access Board (USAB),#F78F64
National Capital Planning Commission (NCPC),#F78F64
Occupational Safety and Health Review Commission (OSHRC),#F78F64
Office of Government Ethics (OGE),#F78F64
THE INSTITUE OF MUSEUM AND LIBRARY SERVICES,#F78F64
Administrative Conference of the U.S. (ACUS),#F78F64
Library of Congress (LOC),#F78F64
Gulf Coast Ecosystem Restoration Council (GCERC),#F78F64
Advisory Council on Historic Preservation (ACHP),#F78F64
The Legislative Branch (LEG BRANCH),#F78F64
Armed Forces Retirement Home (AFRH),#F78F64
Defense Nuclear Facilities Safety Board (DNFSB),#F78F64
